iter	RMSE
0	22.00155058
1	21.12047185
2	20.21131512
3	19.40920043
4	18.64796557
5	17.95457293
6	17.22214575
7	16.57300226
8	15.96432755
9	15.40113215
10	14.81330212
11	14.25693163
12	13.72966493
13	13.25511479
14	12.82434412
15	12.35949811
16	11.95584775
17	11.57303608
18	11.21614224
19	10.86642673
20	10.51960899
21	10.19955126
22	9.89497478
23	9.621518053
24	9.35732034
25	9.100383792
26	8.841837992
27	8.627663707
28	8.410416025
29	8.207140682
30	8.040331044
31	7.868475378
32	7.71684937
33	7.555326591
34	7.392788883
35	7.263374006
36	7.124339923
37	7.019586972
38	6.91215578
39	6.822925851
40	6.721077824
41	6.622692119
42	6.535830764
43	6.465045042
44	6.39657746
45	6.32300778
46	6.258285255
47	6.198308865
48	6.142419288
49	6.08370581
50	6.033939653
51	5.990249149
52	5.946857864
53	5.905820228
54	5.864988397
55	5.827016915
56	5.796540246
57	5.771559423
58	5.742943807
59	5.721136959
60	5.69440714
61	5.669862569
62	5.647615106
63	5.624026299
64	5.602068429
65	5.582199647
66	5.56305725
67	5.546794958
68	5.529560302
69	5.517598399
70	5.503079071
71	5.488710146
72	5.476423061
73	5.465837893
74	5.455211432
75	5.446235488
76	5.437232699
77	5.427491634
78	5.418454775
79	5.410509909
80	5.402016816
81	5.394053945
82	5.3843228
83	5.37616897
84	5.368958915
85	5.363191264
86	5.355300597
87	5.347089014
88	5.340590972
89	5.336618788
90	5.332151778
91	5.327211135
92	5.32115436
93	5.316827814
94	5.311736854
95	5.306239751
96	5.301409119
97	5.294522107
98	5.2903695
99	5.284658084
