iter	Passed	Remaining
0	10	991
1	20	998
2	30	981
3	40	980
4	50	962
5	61	966
6	71	952
7	82	948
8	94	952
9	107	969
10	122	987
11	134	983
12	144	968
13	155	956
14	180	1024
15	196	1030
16	211	1034
17	224	1020
18	236	1008
19	251	1006
20	264	993
21	274	974
22	284	952
23	303	962
24	315	946
25	329	936
26	343	927
27	355	914
28	367	899
29	379	884
30	392	872
31	403	857
32	430	873
33	449	872
34	462	859
35	478	850
36	491	837
37	507	827
38	518	810
39	531	797
40	543	781
41	555	767
42	568	753
43	589	750
44	604	739
45	617	724
46	641	723
47	656	711
48	672	699
49	689	689
50	700	673
51	712	657
52	723	641
53	733	625
54	746	610
55	756	594
56	765	577
57	775	561
58	784	545
59	793	528
60	803	513
61	814	499
62	824	484
63	833	469
64	844	454
65	856	441
66	867	427
67	877	412
68	887	398
69	897	384
70	906	370
71	917	356
72	928	343
73	942	330
74	953	317
75	964	304
76	975	291
77	988	278
78	1001	266
79	1013	253
80	1024	240
81	1036	227
82	1048	214
83	1060	201
84	1073	189
85	1088	177
86	1099	164
87	1109	151
88	1118	138
89	1128	125
90	1140	112
91	1151	100
92	1162	87
93	1172	74
94	1182	62
95	1193	49
96	1204	37
97	1216	24
98	1228	12
99	1239	0
