iter	RMSE
0	23.0710631
1	22.24259049
2	21.503053
3	20.82866408
4	20.16476654
5	19.49064042
6	18.82146453
7	18.20434488
8	17.58755484
9	17.03611513
10	16.47854661
11	15.9824819
12	15.47697023
13	15.04522884
14	14.5852618
15	14.14558169
16	13.72709146
17	13.32635367
18	12.95730733
19	12.5717204
20	12.21125385
21	11.8935097
22	11.589346
23	11.28350603
24	10.96816649
25	10.6941917
26	10.43351252
27	10.18056206
28	9.95463612
29	9.751932856
30	9.554546008
31	9.363038136
32	9.177812888
33	9.02114574
34	8.832795037
35	8.68437755
36	8.535389021
37	8.39643859
38	8.250765387
39	8.122140485
40	7.985600086
41	7.868766311
42	7.760160598
43	7.659951621
44	7.561097857
45	7.476691473
46	7.396370889
47	7.314847323
48	7.243300256
49	7.168879508
50	7.105161923
51	7.037911278
52	6.977671892
53	6.917045345
54	6.860423452
55	6.815496622
56	6.768722264
57	6.727813826
58	6.693195791
59	6.655452096
60	6.6174109
61	6.581745045
62	6.549335316
63	6.515036731
64	6.485082052
65	6.455035144
66	6.423992163
67	6.398958332
68	6.372769674
69	6.349214685
70	6.327538678
71	6.304617108
72	6.284840707
73	6.266920296
74	6.247951536
75	6.229280001
76	6.213616442
77	6.197829607
78	6.183779333
79	6.167077465
80	6.151561937
81	6.133080658
82	6.117509068
83	6.106442849
84	6.090456095
85	6.071807891
86	6.057870014
87	6.045899571
88	6.031640797
89	6.019151582
90	6.007795774
91	5.99579042
92	5.986936912
93	5.978244595
94	5.969341157
95	5.963655262
96	5.953217484
97	5.944862788
98	5.937537137
99	5.929721908
100	5.917214082
101	5.911925624
102	5.905552047
103	5.897474079
104	5.891798564
105	5.883982207
106	5.877074702
107	5.862982285
108	5.852763744
109	5.847073176
110	5.84146516
111	5.834767626
112	5.828247632
113	5.823319657
114	5.814727591
115	5.807840657
116	5.802244911
117	5.795430651
118	5.789520009
119	5.783799163
120	5.779988623
121	5.774634295
122	5.766701697
123	5.762884146
124	5.757163011
125	5.754110368
126	5.749997461
127	5.741958538
128	5.735119715
129	5.729354867
130	5.725973554
131	5.723387545
132	5.719185319
133	5.716077517
134	5.710413191
135	5.699159694
136	5.695314111
137	5.693800399
138	5.684107467
139	5.680257427
140	5.676353042
141	5.668515305
142	5.661541239
143	5.652257758
144	5.644812861
145	5.639899637
146	5.637895146
147	5.630600885
148	5.625782822
149	5.620893969
150	5.616583472
151	5.616019278
152	5.614578318
153	5.611467986
154	5.608122422
155	5.602632648
156	5.600217188
157	5.593194977
158	5.588588613
159	5.584391152
160	5.574172501
161	5.566771917
162	5.561552077
163	5.561059596
164	5.554002962
165	5.550582733
166	5.545907965
167	5.543863173
168	5.538854031
169	5.536598778
170	5.532499756
171	5.529013065
172	5.522800375
173	5.517982277
174	5.513868182
175	5.509659585
176	5.50484366
177	5.498175455
178	5.493329269
179	5.491295212
180	5.487700844
181	5.479729444
182	5.477051716
183	5.473758684
184	5.470510123
185	5.467330265
186	5.461507911
187	5.452957816
188	5.449604411
189	5.445673032
190	5.443454248
191	5.440659909
192	5.436919611
193	5.433675721
194	5.430293858
195	5.426808117
196	5.419992274
197	5.415758142
198	5.405526988
199	5.401392735
200	5.396528649
201	5.391311504
202	5.387302049
203	5.383645802
204	5.379462002
205	5.376959554
206	5.373931913
207	5.369987093
208	5.366636857
209	5.3629243
210	5.360759163
211	5.358626667
212	5.356876713
213	5.35320341
214	5.347666901
215	5.344804731
216	5.340617251
217	5.337054121
218	5.333781542
219	5.332378631
220	5.330374448
221	5.326449882
222	5.324114972
223	5.320681439
224	5.319331583
225	5.313009086
226	5.310644148
227	5.307471504
228	5.305414505
229	5.298706381
230	5.296084904
231	5.292583905
232	5.292108082
233	5.288259995
234	5.284381949
235	5.277026834
236	5.273599839
237	5.265453804
238	5.258656841
239	5.25586254
240	5.250429029
241	5.248483973
242	5.24220958
243	5.240613817
244	5.239344404
245	5.235620437
246	5.232334403
247	5.228894059
248	5.226928697
249	5.216975257
250	5.213025317
251	5.207360648
252	5.20660823
253	5.20229711
254	5.199904581
255	5.19634252
256	5.193676187
257	5.190341011
258	5.18893634
259	5.185641751
260	5.183916895
261	5.179472001
262	5.1785202
263	5.175881169
264	5.170914208
265	5.165556101
266	5.16301155
267	5.158340486
268	5.157514046
269	5.154918477
270	5.15162086
271	5.150200158
