iter	Passed	Remaining
0	159	159243
1	164	81955
2	167	55756
3	171	42738
4	176	35103
5	180	29966
6	184	26232
7	189	23481
8	193	21308
9	197	19531
10	201	18134
11	206	16987
12	210	15986
13	214	15117
14	219	14382
15	222	13696
16	227	13128
17	231	12641
18	236	12204
19	240	11805
20	245	11460
21	251	11169
22	255	10870
23	261	10619
24	267	10417
25	271	10188
26	276	9970
27	282	9789
28	287	9636
29	292	9468
30	298	9321
31	303	9183
32	308	9041
33	314	8935
34	319	8819
35	325	8714
36	330	8613
37	336	8510
38	341	8407
39	346	8327
40	351	8224
41	356	8139
42	361	8054
43	366	7965
44	374	7953
45	377	7838
46	383	7782
47	389	7720
48	394	7658
49	399	7599
50	406	7554
51	411	7504
52	419	7492
53	425	7455
54	434	7459
55	444	7485
56	453	7497
57	461	7496
58	467	7459
59	475	7447
60	482	7425
61	491	7433
62	498	7414
63	506	7400
64	514	7398
65	522	7387
66	530	7381
67	536	7352
68	545	7353
69	551	7323
70	557	7300
71	564	7276
72	571	7259
73	578	7235
74	584	7210
75	591	7191
76	598	7168
77	605	7155
78	613	7154
79	621	7145
80	629	7137
81	640	7168
82	649	7172
83	658	7179
84	666	7176
85	674	7167
86	682	7157
87	689	7148
88	698	7149
89	705	7135
90	714	7137
91	722	7125
92	730	7124
93	738	7113
94	745	7102
95	751	7080
96	760	7076
97	769	7080
98	776	7071
99	784	7061
100	793	7065
101	803	7074
102	810	7060
103	819	7056
104	826	7048
105	836	7056
106	845	7057
107	853	7053
108	861	7039
109	868	7026
110	878	7037
111	886	7025
112	896	7039
113	907	7050
114	915	7046
115	924	7042
116	935	7059
117	942	7044
118	950	7038
119	957	7019
120	965	7011
121	972	6995
122	980	6990
123	987	6974
124	994	6958
125	1000	6939
126	1008	6935
127	1016	6923
128	1026	6930
129	1036	6935
130	1048	6952
131	1060	6970
132	1067	6961
133	1074	6941
134	1081	6927
135	1087	6911
136	1094	6892
137	1100	6874
138	1107	6861
139	1116	6858
140	1123	6845
141	1130	6830
142	1137	6816
143	1142	6792
144	1149	6777
145	1156	6766
146	1166	6768
147	1172	6751
148	1180	6744
149	1188	6733
150	1196	6729
151	1199	6694
152	1206	6678
153	1214	6671
154	1221	6658
155	1229	6652
156	1236	6639
157	1247	6648
158	1270	6718
159	1278	6711
160	1285	6698
161	1293	6692
162	1303	6693
163	1308	6668
164	1317	6669
165	1324	6654
166	1333	6649
167	1340	6638
168	1347	6624
169	1355	6619
170	1361	6602
171	1369	6590
172	1375	6576
173	1384	6573
174	1391	6558
175	1402	6566
176	1414	6577
177	1420	6561
178	1428	6551
179	1435	6539
180	1444	6538
181	1452	6528
182	1467	6549
183	1478	6557
184	1486	6548
185	1494	6542
186	1502	6531
187	1509	6518
188	1515	6503
189	1524	6498
190	1532	6489
191	1540	6482
192	1547	6471
193	1556	6465
194	1565	6463
195	1572	6450
196	1579	6438
197	1586	6425
198	1593	6415
199	1600	6403
200	1607	6389
201	1612	6370
202	1618	6355
203	1624	6338
204	1630	6321
205	1636	6309
206	1642	6292
207	1649	6281
